participant,Welcome_Screen:1,participant_code:1,age:1,gender:1,handedness:1,education:1,income:1,computer_hours:1,wcst_task:1,n_back_task:1,corsi_block_span_task:1,fitts_law:1,navon_task:1,TIME_start,TIME_end,TIME_total
s.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,welcome_screen.2021-05-25-1555.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,919015,31,1,1,4,5,10,WCST_Task.2021-05-25-1604.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,N_Back_Task.2021-05-25-1609.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,Corsi_Block_Span_Task.2021-05-25-1611.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,Fitts_Law.2021-05-25-1612.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,Navon_Task.2021-05-25-1615.data.da3184d8-1ba0-4690-bf0e-50f289ad1cb3.txt,2021-05-25-15-54,2021-05-25-16-15,21,
s.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,welcome_screen.2021-05-25-1556.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,948779,43,1,1,2,3,12,WCST_Task.2021-05-25-1605.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,N_Back_Task.2021-05-25-1610.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,Corsi_Block_Span_Task.2021-05-25-1613.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,Fitts_Law.2021-05-25-1614.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,Navon_Task.2021-05-25-1617.data.75535c43-c491-41ce-b05a-9e5bf9d3b82a.txt,2021-05-25-15-56,2021-05-25-16-17,21,
s.6df92442-1829-466e-bfc1-b3660e31aee7.txt,welcome_screen.2021-05-25-1653.data.6df92442-1829-466e-bfc1-b3660e31aee7.txt,308937,33,1,1,3,8,6,"","","","","",2021-05-25-16-52,"",""
s.6a454982-cc18-4d84-8b7a-7c512e0aaa41.txt,welcome_screen.2021-05-25-1615.data.6a454982-cc18-4d84-8b7a-7c512e0aaa41.txt,171088,"","","","","","","","","","","",2021-05-25-16-15,"",""
s.5e4538a1-97cf-47f3-98bb-477bc6242e68.txt,"",387495,"","","","","","","","","","","",2021-05-19-14-58,"",""
s.e27beece-b868-4249-9bd0-e954eaf6ab3a.txt,welcome_screen.2021-05-25-1629.data.e27beece-b868-4249-9bd0-e954eaf6ab3a.txt,662004,"","","","","","","","","","","",2021-05-25-16-29,"",""
s.81659ee3-ad54-4bca-884f-b08b53d147cf.txt,welcome_screen.2021-05-29-2251.data.81659ee3-ad54-4bca-884f-b08b53d147cf.txt,267103,32,1,1,3,6,30,"","","","","",2021-05-29-22-50,"",""
s.58385e09-a6ac-4173-9dcf-ee2f4067d48f.txt,welcome_screen.2021-05-29-2202.data.58385e09-a6ac-4173-9dcf-ee2f4067d48f.txt,732778,25,2,1,3,9,86,"","","","","",2021-05-29-22-02,"",""
s.5f549354-af60-4c11-b271-7396e5216de8.txt,welcome_screen.2021-05-25-1642.data.5f549354-af60-4c11-b271-7396e5216de8.txt,722573,45,2,1,4,7,30,WCST_Task.2021-05-25-1655.data.5f549354-af60-4c11-b271-7396e5216de8.txt,N_Back_Task.2021-05-25-1700.data.5f549354-af60-4c11-b271-7396e5216de8.txt,Corsi_Block_Span_Task.2021-05-25-1702.data.5f549354-af60-4c11-b271-7396e5216de8.txt,Fitts_Law.2021-05-25-1703.data.5f549354-af60-4c11-b271-7396e5216de8.txt,Navon_Task.2021-05-25-1707.data.5f549354-af60-4c11-b271-7396e5216de8.txt,2021-05-25-16-42,2021-05-25-17-07,25,
s.2650a9d5-2e50-4afe-b09f-9b8441833d55.txt,welcome_screen.2021-05-25-1716.data.2650a9d5-2e50-4afe-b09f-9b8441833d55.txt,678831,27,1,1,3,8,85,"","","","","",2021-05-25-17-16,"",""
s.99733842-19da-47ed-ac72-140199576b58.txt,welcome_screen.2021-05-29-1958.data.99733842-19da-47ed-ac72-140199576b58.txt,481456,"","","","","","","","","","","",2021-05-29-19-58,"",""
