,participant,reward,status,action,rule,rule_correct,rule_used,n_t
124,221478.0,0,2,2,color,color,number,24
125,221478.0,0,2,1,color,color,shape,25
126,221478.0,0,3,,color,color,time out,26
127,221478.0,0,3,,shape,shape,time out,27
128,221478.0,0,2,3,shape,shape,color,28
129,221478.0,0,2,3,shape,shape,color,29
130,221478.0,0,2,3,shape,shape,color,30
131,221478.0,0,2,3,shape,shape,color,31
132,221478.0,0,2,3,shape,shape,color,32
133,221478.0,0,2,3,shape,shape,color,33
134,221478.0,0,2,3,shape,shape,color,34
135,221478.0,0,2,3,number,number,color,35
136,221478.0,1,1,2,number,number,number,36
137,221478.0,1,1,2,number,number,number,37
138,221478.0,1,1,2,number,number,number,38
139,221478.0,1,1,2,number,number,number,39
140,221478.0,1,1,2,number,number,number,40
141,221478.0,1,1,2,number,number,number,41
142,221478.0,0,2,1,color,color,shape,42
143,221478.0,0,3,,color,color,time out,43
144,221478.0,0,2,1,color,color,shape,44
145,221478.0,0,2,1,color,color,shape,45
146,221478.0,0,2,1,color,color,shape,46
147,221478.0,1,1,2,number,number,number,47
148,221478.0,0,2,3,number,number,color,48
149,221478.0,1,1,2,number,number,number,49
150,221478.0,1,1,2,number,number,number,50
151,221478.0,1,1,2,number,number,number,51
152,221478.0,0,2,3,number,number,color,52
153,221478.0,0,2,3,shape,shape,color,53
154,221478.0,0,2,3,shape,shape,color,54
155,221478.0,0,2,3,shape,shape,color,55
156,221478.0,0,2,3,shape,shape,color,56
157,221478.0,0,2,2,shape,shape,number,57
158,221478.0,0,2,3,shape,shape,color,58
159,221478.0,0,2,2,shape,shape,number,59
160,221478.0,0,2,1,color,color,shape,60
161,221478.0,0,2,1,color,color,shape,61
162,221478.0,0,2,1,color,color,shape,62
163,221478.0,0,2,1,color,color,shape,63
164,221478.0,0,2,1,color,color,shape,64
165,221478.0,0,3,,shape,shape,time out,65
166,221478.0,0,2,2,shape,shape,number,66
167,221478.0,0,2,3,shape,shape,color,67
168,221478.0,0,2,3,shape,shape,color,68
169,221478.0,0,2,3,shape,shape,color,69
170,221478.0,0,2,3,number,number,color,70
171,221478.0,1,1,2,number,number,number,71
172,221478.0,0,2,3,number,number,color,72
173,221478.0,1,1,2,number,number,number,73
174,221478.0,0,2,3,number,number,color,74
175,221478.0,0,2,3,number,number,color,75
176,221478.0,0,2,3,number,number,color,76
177,221478.0,0,2,2,shape,shape,number,77
178,221478.0,0,2,3,shape,shape,color,78
179,221478.0,0,2,2,shape,shape,number,79
180,221478.0,0,2,3,shape,shape,color,80
181,221478.0,0,2,3,shape,shape,color,81
182,221478.0,0,2,3,shape,shape,color,82
183,221478.0,0,2,1,color,color,shape,83
184,221478.0,0,2,1,color,color,shape,84
185,221478.0,0,2,1,color,color,shape,85
186,221478.0,0,2,2,color,color,number,86
187,221478.0,0,2,1,color,color,shape,87
188,221478.0,0,2,3,shape,shape,color,88
189,221478.0,0,2,3,shape,shape,color,89
190,221478.0,0,2,3,shape,shape,color,90
191,221478.0,0,3,,shape,shape,time out,91
192,221478.0,0,2,3,shape,shape,color,92
193,221478.0,0,2,3,shape,shape,color,93
194,221478.0,0,2,1,color,color,shape,94
195,221478.0,0,2,2,color,color,number,95
196,221478.0,1,1,3,color,color,color,96
197,221478.0,1,1,3,color,color,color,97
198,221478.0,1,1,3,color,color,color,98
199,221478.0,1,1,3,color,color,color,99
200,844810.0,1,1,1,shape,shape,shape,0
201,844810.0,1,1,1,shape,shape,shape,1
202,844810.0,1,1,1,shape,shape,shape,2
203,844810.0,1,1,1,shape,shape,shape,3
204,844810.0,1,1,1,shape,shape,shape,4
205,844810.0,1,1,1,shape,shape,shape,5
206,844810.0,1,1,1,shape,shape,shape,6
207,844810.0,1,1,1,shape,shape,shape,7
208,844810.0,1,1,1,shape,shape,shape,8
209,844810.0,1,1,1,shape,shape,shape,9
210,844810.0,0,2,1,number,number,shape,10
211,844810.0,0,2,3,number,number,color,11
212,844810.0,0,2,3,number,number,color,12
213,844810.0,0,2,3,number,number,color,13
214,844810.0,0,2,3,number,number,color,14
215,844810.0,1,1,2,number,number,number,15
216,844810.0,1,1,2,number,number,number,16
217,844810.0,1,1,2,number,number,number,17
218,844810.0,1,1,2,number,number,number,18
219,844810.0,0,2,1,color,color,shape,19
220,844810.0,0,2,1,color,color,shape,20
221,844810.0,0,2,2,color,color,number,21
222,844810.0,1,1,3,color,color,color,22
223,844810.0,1,1,3,color,color,color,23
224,844810.0,1,1,3,color,color,color,24
225,844810.0,1,1,3,color,color,color,25
226,844810.0,1,1,3,color,color,color,26
227,844810.0,1,1,1,shape,shape,shape,27
228,844810.0,1,1,1,shape,shape,shape,28
229,844810.0,1,1,1,shape,shape,shape,29
230,844810.0,1,1,1,shape,shape,shape,30
231,844810.0,1,1,1,shape,shape,shape,31
232,844810.0,1,1,1,shape,shape,shape,32
233,844810.0,1,1,1,shape,shape,shape,33
234,844810.0,1,1,1,shape,shape,shape,34
235,844810.0,0,2,1,number,number,shape,35
236,844810.0,0,2,3,number,number,color,36
237,844810.0,1,1,2,number,number,number,37
238,844810.0,1,1,2,number,number,number,38
239,844810.0,1,1,2,number,number,number,39
240,844810.0,1,1,2,number,number,number,40
241,844810.0,1,1,2,number,number,number,41
242,844810.0,0,2,1,color,color,shape,42
243,844810.0,0,2,2,color,color,number,43
244,844810.0,0,2,1,color,color,shape,44
